                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5189,                 4.5288,                 4.1905,                0.00191,                 0.1748,                0.00492,                0.00149,                 3.5082,                 4.6592,                 4.1232,             0.00027471,             0.00027471,             0.00027471
                      2,                 3.3838,                 4.1883,                 3.8679,                0.57768,                0.02748,                0.00334,                0.00094,                 3.3104,                 6.8134,                 3.9944,             0.00052504,             0.00052504,             0.00052504
                      3,                  3.045,                 4.0283,                 3.5006,                0.00361,                0.19263,                0.00606,                0.00134,                 2.9735,                 4.1831,                  3.475,             0.00074787,             0.00074787,             0.00074787
                      4,                 2.8697,                 3.8656,                  3.233,                0.33363,                0.03556,                0.01932,                0.00545,                 2.8595,                 4.3577,                 3.1935,              0.0007093,              0.0007093,              0.0007093
                      5,                 2.6421,                 3.7093,                 3.0235,                0.64316,                0.04842,                0.02301,                0.00717,                 2.6087,                 3.8698,                 3.0018,             0.00066807,             0.00066807,             0.00066807
                      6,                 2.4789,                 3.5397,                   2.85,                0.45962,                0.03513,                0.01292,                0.00424,                 2.5456,                 3.9807,                 2.8986,             0.00062683,             0.00062683,             0.00062683
                      7,                 2.3473,                 3.4341,                 2.7169,                0.62031,                0.06547,                0.03679,                0.01328,                 2.3698,                 3.8859,                 2.7646,              0.0005856,              0.0005856,              0.0005856
                      8,                 2.2658,                 3.3144,                 2.6253,                0.67061,                0.06833,                0.04302,                0.01863,                 2.3156,                 3.4345,                 2.7131,             0.00054437,             0.00054437,             0.00054437
                      9,                 2.1593,                 3.2016,                 2.5287,                0.67503,                0.07663,                0.05871,                0.02764,                 2.1951,                 3.3684,                 2.6159,             0.00050313,             0.00050313,             0.00050313
                     10,                 2.1256,                 3.1358,                 2.4832,                0.53862,                 0.0812,                0.06546,                0.03021,                  2.132,                 3.2288,                 2.5452,              0.0004619,              0.0004619,              0.0004619
                     11,                 2.1201,                 3.3355,                 2.4947,                0.72945,                0.06378,                 0.0665,                0.03475,                 2.1448,                 3.2534,                  2.542,             0.00042066,             0.00042066,             0.00042066
                     12,                 2.0715,                 3.1788,                 2.4686,                0.56727,                0.07465,                0.07806,                0.04309,                 2.1006,                  3.247,                 2.4361,             0.00037943,             0.00037943,             0.00037943
                     13,                 2.0228,                    3.1,                 2.3946,                0.69538,                0.08807,                0.08292,                0.04621,                 2.0468,                 3.0546,                 2.4571,              0.0003382,              0.0003382,              0.0003382
                     14,                 2.0032,                  3.017,                 2.3963,                0.58584,                0.08731,                0.09017,                0.05112,                 2.0487,                 3.0359,                 2.4137,             0.00029696,             0.00029696,             0.00029696
                     15,                 2.0043,                 2.9882,                 2.3547,                0.59474,                 0.0895,                0.11037,                0.06246,                 2.0341,                 2.9714,                 2.3942,             0.00025573,             0.00025573,             0.00025573
                     16,                 1.9476,                 2.9328,                 2.3356,                0.54459,                0.09789,                0.11269,                0.06174,                 2.0187,                   2.89,                  2.386,              0.0002145,              0.0002145,              0.0002145
                     17,                 1.9544,                  2.885,                 2.3129,                0.55765,                0.10252,                0.11915,                0.06691,                 1.9967,                 2.8562,                 2.3643,             0.00017326,             0.00017326,             0.00017326
                     18,                 1.9191,                 2.8503,                 2.2704,                0.57684,                0.10524,                0.11275,                0.06455,                 2.0174,                 2.8398,                 2.3671,             0.00013203,             0.00013203,             0.00013203
                     19,                 1.8989,                 2.8433,                  2.263,                 0.5652,                0.10709,                0.11046,                0.06357,                 1.9774,                  2.803,                 2.3497,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                 1.8872,                 2.7825,                 2.2701,                0.41791,                0.11294,                 0.1191,                0.07045,                 1.9629,                 2.7558,                 2.3338,             4.9564e-05,             4.9564e-05,             4.9564e-05
