                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3858,                 4.7329,                 4.0589,                0.00137,                0.00142,                0.00088,                0.00026,                 4.2535,                 9.0747,                 2.7392,              0.0002541,              0.0002541,              0.0002541
                      2,                 3.3655,                 3.6799,                 3.3656,                0.01595,                0.01435,                0.01423,                0.00203,                 3.1046,                 7.4626,                 2.1605,             0.00048517,             0.00048517,             0.00048517
                      3,                 3.0469,                 3.2745,                 3.0076,                0.34466,                0.00828,                0.00333,                0.00149,                 2.7507,                 5.5776,                 1.9586,             0.00069086,             0.00069086,             0.00069086
                      4,                 2.7692,                  3.066,                 2.7881,                0.57141,                0.00391,                0.00368,                0.00169,                 2.4972,                  5.977,                 1.7607,              0.0006548,              0.0006548,              0.0006548
                      5,                 2.5829,                 2.8403,                 2.6083,                0.00645,                0.01488,                0.00825,                0.00264,                 2.4342,                 5.5668,                   1.68,             0.00061674,             0.00061674,             0.00061674
                      6,                 2.4272,                 2.6793,                 2.4614,                0.51972,                0.00533,                0.00696,                0.00373,                 2.3295,                 4.6971,                 1.6566,             0.00057867,             0.00057867,             0.00057867
                      7,                 2.3197,                 2.5348,                 2.3529,                0.40132,                0.00955,                0.00813,                0.00335,                 2.2341,                 4.9682,                 1.5014,             0.00054061,             0.00054061,             0.00054061
                      8,                 2.2378,                 2.4325,                 2.2753,                0.34652,                0.01146,                0.00959,                0.00502,                 2.2231,                 4.3579,                 1.6087,             0.00050254,             0.00050254,             0.00050254
                      9,                 2.1586,                 2.3056,                 2.2108,                0.29215,                0.00963,                 0.0095,                0.00451,                 2.1025,                 4.2143,                 1.5034,             0.00046448,             0.00046448,             0.00046448
                     10,                 2.1328,                 2.2664,                  2.167,                0.00862,                0.01631,                0.00886,                 0.0034,                  2.131,                 4.4895,                  1.549,             0.00042641,             0.00042641,             0.00042641
                     11,                 2.0184,                 2.2292,                 2.0886,                 0.4174,                0.01034,                0.00958,                0.00463,                 2.0752,                  4.262,                 1.4843,             0.00038835,             0.00038835,             0.00038835
                     12,                 1.9412,                 2.0933,                 2.0275,                0.32933,                0.01042,                0.01054,                0.00553,                 1.9782,                 4.0391,                 1.4655,             0.00035028,             0.00035028,             0.00035028
