                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4939,                 4.3235,                 4.2329,                0.02987,                0.01121,                0.00577,                0.00185,                 3.3926,                 4.1753,                 4.2311,              0.0033263,              0.0033263,              0.0033263
                      2,                 2.8818,                 3.6892,                 3.5056,                0.39644,                0.10929,                0.08335,                0.03089,                 2.4183,                  3.344,                 3.0082,              0.0066267,              0.0066267,              0.0066267
                      3,                 2.0382,                 2.7902,                 2.4815,                0.31887,                0.23023,                0.18508,                 0.0988,                 1.9071,                 2.8281,                 2.3158,              0.0098941,              0.0098941,              0.0098941
                      4,                 1.7268,                 2.3655,                  2.071,                0.42039,                0.28531,                0.26818,                0.15736,                 1.7166,                 2.3085,                 2.0328,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.557,                 2.1074,                 1.8625,                0.51699,                0.32335,                0.33207,                0.21559,                 1.4993,                 2.0198,                 1.7916,               0.009802,               0.009802,               0.009802
                      6,                 1.4541,                 1.9604,                 1.7598,                0.50905,                0.35123,                0.34694,                0.22343,                 1.5097,                 2.0587,                 1.7618,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.3967,                 1.8738,                 1.7037,                0.49564,                0.38093,                0.36818,                0.24163,                  1.421,                 2.0184,                 1.6834,               0.009703,               0.009703,               0.009703
                      8,                 1.3487,                 1.7894,                 1.6568,                0.52814,                 0.3822,                0.38633,                0.25335,                 1.4111,                 1.8216,                 1.6569,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.3319,                 1.7553,                 1.6371,                0.52436,                0.38978,                0.39033,                0.26295,                 1.3611,                 1.8127,                 1.6029,               0.009604,               0.009604,               0.009604
                     10,                 1.2898,                 1.6979,                 1.6047,                0.53929,                0.40259,                0.40273,                0.26907,                 1.3468,                 1.7329,                 1.5761,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2725,                 1.6583,                 1.5836,                0.56874,                0.41072,                0.42138,                0.28451,                 1.3009,                 1.6734,                 1.5507,               0.009505,               0.009505,               0.009505
                     12,                 1.2519,                 1.6212,                 1.5591,                0.56317,                0.42235,                 0.4379,                0.29747,                 1.3023,                 1.6397,                 1.5381,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.225,                 1.5863,                 1.5434,                0.54543,                0.44685,                0.44325,                0.29956,                 1.3086,                 1.6478,                 1.5556,               0.009406,               0.009406,               0.009406
                     14,                 1.2091,                 1.5541,                 1.5281,                0.58048,                0.43471,                0.45559,                0.30756,                 1.2986,                 1.5826,                 1.5314,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1889,                 1.5281,                 1.5102,                0.57847,                0.45497,                0.46416,                0.31895,                 1.2566,                 1.5303,                 1.4922,               0.009307,               0.009307,               0.009307
                     16,                 1.1782,                 1.4956,                 1.4961,                 0.5569,                 0.4609,                0.46549,                 0.3216,                 1.2522,                 1.5427,                 1.4854,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1775,                 1.4842,                  1.494,                0.55033,                0.47243,                0.47855,                0.32703,                 1.2348,                 1.4977,                 1.4765,               0.009208,               0.009208,               0.009208
                     18,                 1.1572,                 1.4731,                 1.4725,                 0.5627,                0.46167,                0.47147,                  0.326,                 1.2464,                 1.5093,                 1.4817,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1432,                 1.4543,                 1.4728,                0.56569,                0.47461,                0.48542,                0.33549,                 1.2109,                 1.4647,                 1.4603,               0.009109,               0.009109,               0.009109
                     20,                 1.1294,                 1.4347,                 1.4593,                0.57865,                0.47801,                0.49093,                0.34015,                 1.2016,                 1.4735,                 1.4442,              0.0090595,              0.0090595,              0.0090595
                     21,                  1.125,                 1.4185,                 1.4557,                0.59319,                0.47911,                0.49751,                0.34548,                 1.1971,                 1.4334,                 1.4424,                0.00901,                0.00901,                0.00901
                     22,                 1.1203,                 1.4125,                 1.4513,                0.54723,                0.49793,                0.48611,                 0.3354,                 1.2049,                 1.4805,                 1.4355,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1085,                 1.3868,                 1.4334,                0.60553,                0.48206,                0.50117,                0.35022,                 1.1824,                 1.4244,                 1.4272,               0.008911,               0.008911,               0.008911
                     24,                 1.0962,                 1.3659,                   1.44,                0.58996,                0.47293,                0.48894,                0.34042,                 1.2013,                 1.4359,                  1.427,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.0994,                 1.3679,                 1.4336,                0.58427,                0.49101,                0.50099,                0.35226,                 1.1726,                 1.4055,                 1.4105,               0.008812,               0.008812,               0.008812
                     26,                 1.0816,                 1.3412,                   1.42,                 0.6023,                0.47867,                0.50134,                0.34888,                 1.1656,                 1.4091,                 1.4116,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0812,                 1.3409,                 1.4167,                0.58947,                 0.5132,                0.51279,                0.35638,                 1.1694,                 1.4044,                  1.404,               0.008713,               0.008713,               0.008713
                     28,                 1.0623,                  1.315,                 1.4002,                0.61291,                0.49641,                0.51318,                0.35674,                 1.1693,                 1.3897,                 1.3987,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.072,                 1.3172,                 1.4059,                0.61088,                0.50022,                 0.5155,                 0.3607,                 1.1502,                 1.3851,                 1.3882,               0.008614,               0.008614,               0.008614
                     30,                  1.053,                 1.2802,                  1.394,                0.60134,                0.49511,                0.51554,                 0.3622,                  1.161,                 1.3946,                 1.3951,              0.0085645,              0.0085645,              0.0085645
                     31,                  1.043,                  1.274,                 1.3879,                0.60575,                0.50031,                0.52039,                0.36415,                 1.1553,                 1.3607,                 1.3987,               0.008515,               0.008515,               0.008515
                     32,                 1.0387,                 1.2698,                 1.3798,                0.62273,                0.50249,                 0.5278,                0.37248,                 1.1364,                 1.3357,                 1.3781,              0.0084655,              0.0084655,              0.0084655
