                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0551,                 6.2749,                 5.0258,                 4.0315,                0.00245,                0.35715,                0.01142,                0.00307,                0.44931,                 0.0406,                0.00254,                0.00042,                  2.961,                 4.5883,                 3.8668,                  3.405,              0.0033284,              0.0033284,              0.0033284
                      2,                 2.5897,                 4.1455,                 3.4009,                   2.83,                0.47721,                0.15874,                0.09388,                0.03719,                0.43769,                 0.1305,                0.05695,                0.01512,                 2.1624,                 3.7363,                 2.9983,                  2.496,              0.0066287,              0.0066287,              0.0066287
                      3,                 2.0723,                 3.6215,                 2.7283,                 2.2366,                0.42421,                0.26982,                0.22183,                0.09864,                0.55728,                0.20524,                0.16303,                0.05224,                 1.9272,                 3.4542,                  2.521,                 2.2262,              0.0098961,              0.0098961,              0.0098961
                      4,                 1.8821,                 3.3171,                 2.4177,                 2.0106,                0.38142,                0.31594,                0.25028,                 0.1255,                0.35169,                 0.2714,                 0.1968,                0.06432,                 1.8088,                 3.1355,                 2.2693,                  2.083,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7665,                  3.101,                 2.2061,                 1.8769,                0.56371,                0.31782,                0.30642,                0.15725,                0.54022,                0.28431,                0.26334,                0.09451,                 1.7351,                 3.0758,                 2.1388,                 2.0101,               0.009802,               0.009802,               0.009802
                      6,                  1.685,                 2.9391,                 2.0704,                 1.7952,                0.47815,                 0.3787,                0.34642,                0.17377,                 0.4521,                0.35332,                0.29537,                0.10345,                 1.7187,                 2.9817,                 2.0365,                 1.9804,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.626,                 2.8289,                 1.9607,                 1.7316,                0.52908,                0.37146,                0.36347,                0.19024,                0.50126,                0.34956,                0.32633,                0.11611,                 1.6573,                   2.96,                 1.9841,                 1.9249,               0.009703,               0.009703,               0.009703
                      8,                 1.5699,                  2.732,                 1.8579,                 1.6839,                0.62777,                0.36668,                0.39446,                0.21118,                0.60442,                0.34469,                0.35646,                0.14114,                 1.6275,                 2.7868,                 1.8997,                 1.9125,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5305,                 2.6743,                 1.7891,                 1.6476,                0.57214,                0.40361,                0.41718,                0.21485,                0.53795,                0.38726,                0.38063,                0.14919,                 1.6269,                 2.7885,                 1.8163,                 1.9219,               0.009604,               0.009604,               0.009604
                     10,                 1.5051,                 2.5921,                  1.721,                 1.6165,                0.56515,                0.41609,                 0.4184,                0.22432,                0.53584,                0.38989,                0.36594,                0.15137,                 1.6068,                 2.7697,                 1.7693,                 1.8996,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4655,                 2.5247,                 1.6591,                 1.5801,                0.55125,                 0.4438,                0.42485,                0.23106,                0.53554,                0.43413,                0.39583,                 0.1608,                 1.5893,                 2.7349,                 1.7083,                 1.8856,               0.009505,               0.009505,               0.009505
                     12,                 1.4401,                 2.4688,                 1.6089,                 1.5622,                0.58208,                0.43762,                0.42822,                0.23252,                0.56006,                0.41124,                0.39466,                0.15651,                 1.6494,                  2.779,                 1.7328,                 1.9251,              0.0094555,              0.0094555,              0.0094555
