                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4036,                 4.4839,                 4.1923,                0.00547,                0.00259,                 0.0012,                0.00042,                 3.0189,                 4.3993,                 4.1704,              0.0033186,              0.0033186,              0.0033186
                      2,                 3.2485,                 4.1635,                 3.8817,                0.00291,                0.49661,                0.00368,                0.00105,                 2.6021,                 10.235,                 3.6816,              0.0066191,              0.0066191,              0.0066191
                      3,                 2.8085,                 3.6759,                 3.2451,                0.15152,                0.13598,                0.07664,                0.03098,                 2.4263,                 5.4798,                 3.0922,              0.0098865,              0.0098865,              0.0098865
                      4,                 2.3866,                 2.8186,                 2.7515,                0.22662,                0.19303,                 0.1797,                 0.0834,                 2.1484,                 3.7617,                 2.7044,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1092,                 2.3367,                 2.4442,                0.28459,                0.42838,                0.31141,                0.16171,                 1.9724,                 2.3231,                 2.4793,               0.009802,               0.009802,               0.009802
                      6,                 1.9919,                 2.1372,                 2.3278,                0.43222,                0.38302,                0.38555,                0.17603,                 1.9809,                 2.0359,                 2.4203,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9359,                 1.9939,                 2.2279,                0.34714,                0.47892,                0.36996,                0.17218,                 1.9166,                 2.1075,                 2.3709,               0.009703,               0.009703,               0.009703
                      8,                 1.8933,                 1.8999,                 2.1824,                0.40245,                0.44086,                0.41121,                0.17873,                 1.9636,                 2.1284,                  2.417,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8683,                 1.8952,                 2.1397,                 0.4047,                0.53411,                0.45783,                0.21634,                 1.8181,                  1.826,                 2.3194,               0.009604,               0.009604,               0.009604
                     10,                 1.8176,                 1.7911,                 2.1084,                0.38934,                0.50097,                0.42148,                0.19505,                  1.882,                 2.0735,                 2.3523,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7867,                 1.7428,                 2.0911,                0.43724,                0.49593,                0.45992,                0.21083,                 1.8391,                 1.9664,                 2.2486,               0.009505,               0.009505,               0.009505
                     12,                 1.7582,                 1.7033,                 2.0509,                0.62894,                0.44906,                0.49293,                 0.2212,                 1.8217,                 1.8617,                  2.263,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7458,                 1.6575,                  2.036,                0.42069,                0.57296,                0.47301,                0.21702,                 1.8245,                  1.759,                 2.2889,               0.009406,               0.009406,               0.009406
                     14,                 1.7363,                 1.6221,                  2.022,                0.47783,                0.49533,                0.47712,                0.22663,                 1.8432,                 1.6607,                 2.3125,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6986,                 1.5726,                  2.006,                0.41122,                0.52113,                0.41995,                0.19907,                 1.8713,                 1.7688,                 2.3352,               0.009307,               0.009307,               0.009307
                     16,                 1.6767,                  1.553,                 1.9709,                0.48161,                0.49842,                0.46651,                0.21175,                 1.9307,                 1.7603,                 2.3866,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6411,                 1.4963,                 1.9496,                0.48031,                0.48934,                0.47407,                0.21595,                 1.9138,                 1.7436,                 2.3899,               0.009208,               0.009208,               0.009208
                     18,                 1.6293,                 1.4628,                 1.9261,                 0.5004,                0.49779,                 0.5058,                0.23093,                 1.9069,                 1.6509,                 2.3797,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6028,                 1.4273,                 1.9195,                0.50272,                0.50751,                0.47641,                0.21472,                 1.8905,                 1.6932,                 2.3307,               0.009109,               0.009109,               0.009109
                     20,                 1.5972,                 1.4007,                 1.8962,                0.48938,                0.55815,                0.49591,                0.22659,                 1.8936,                 1.6497,                 2.3781,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5711,                 1.3402,                 1.8726,                0.44308,                0.55561,                  0.483,                0.21936,                 1.9542,                 1.6897,                 2.4327,                0.00901,                0.00901,                0.00901
