                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8782,                 4.3184,                  4.793,                 3.8008,                 0.6659,                0.12565,                  0.101,                0.04355,                0.66192,                0.12334,                0.10412,                0.04639,                 2.5235,                 2.3391,                 3.1208,                 2.7445,              0.0033283,              0.0033283,              0.0033283
                      2,                 1.9748,                 2.1222,                 2.3809,                 2.0729,                0.45418,                0.47827,                0.44424,                0.24956,                0.44001,                0.46661,                0.46639,                0.23648,                 1.5865,                 1.6208,                 1.8089,                 1.7323,              0.0066287,              0.0066287,              0.0066287
                      3,                 1.5358,                 1.7086,                 1.7349,                 1.5928,                0.64031,                0.56687,                0.58978,                0.35832,                0.64633,                0.56535,                0.58957,                0.32519,                 1.3539,                 1.4929,                 1.4315,                 1.4788,              0.0098961,              0.0098961,              0.0098961
                      4,                 1.3472,                 1.5196,                 1.4219,                 1.4171,                 0.7128,                0.63115,                 0.6793,                0.41217,                0.68509,                0.63198,                0.67244,                0.39411,                 1.2305,                 1.3398,                 1.2661,                 1.3509,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2204,                 1.3933,                 1.2322,                 1.3168,                0.71055,                0.72938,                0.72052,                0.47936,                0.67953,                0.72479,                0.70483,                0.43716,                 1.1267,                 1.2224,                 1.1633,                 1.2845,               0.009802,               0.009802,               0.009802
                      6,                 1.1412,                 1.3119,                 1.1153,                 1.2526,                0.65415,                0.78201,                0.76533,                0.51951,                0.63861,                0.76895,                0.74623,                0.46254,                 1.0771,                 1.1793,                 1.0558,                 1.2393,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0831,                 1.2491,                 1.0391,                 1.2091,                 0.7222,                 0.7717,                0.76902,                 0.5387,                0.72467,                  0.765,                0.75702,                0.47582,                 1.0814,                 1.1848,                 1.1598,                 1.2355,               0.009703,               0.009703,               0.009703
                      8,                 1.0431,                 1.2147,                0.97106,                 1.1775,                0.82619,                0.78445,                 0.8395,                0.59872,                0.81313,                0.77594,                0.82339,                0.52758,                0.99148,                 1.0944,                 0.9105,                 1.1833,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0031,                 1.1647,                0.92348,                 1.1558,                0.80469,                0.75454,                0.80746,                0.56812,                0.78794,                0.73629,                0.78202,                 0.5103,                0.97483,                 1.0858,                0.89991,                 1.1558,               0.009604,               0.009604,               0.009604
                     10,                0.97774,                 1.1444,                0.87927,                  1.133,                0.78731,                0.80432,                0.83937,                0.60336,                0.77589,                0.79436,                0.82074,                0.54854,                0.96253,                 1.0513,                0.97074,                 1.1471,              0.0095545,              0.0095545,              0.0095545
                     11,                0.94985,                 1.1145,                0.83484,                 1.1158,                0.79001,                0.79378,                0.83508,                0.60472,                0.77271,                 0.7848,                0.81816,                0.54138,                0.95504,                 1.0725,                0.94861,                 1.1428,               0.009505,               0.009505,               0.009505
                     12,                0.92728,                 1.0886,                0.81028,                 1.1067,                0.81019,                0.81909,                0.87122,                0.64636,                0.80844,                0.81701,                0.85782,                 0.5843,                0.91044,                 1.0236,                 0.7845,                 1.1127,              0.0094555,              0.0094555,              0.0094555
