                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4553,                 4.6457,                 4.2656,                0.00254,                 0.3879,                0.00388,                 0.0013,                 3.2749,                 4.6455,                 4.1592,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 3.5637,                 4.6772,                 4.2703,                0.00257,                0.41993,                0.00723,                0.00228,                 3.2749,                 4.6456,                 4.1589,             0.00010722,             0.00010722,             0.00010722
                      3,                 3.4676,                 4.5696,                  4.258,                0.00213,                0.47844,                0.01182,                0.00335,                  3.275,                 4.6467,                 4.1583,              0.0001633,              0.0001633,              0.0001633
                      4,                 3.5524,                 4.5481,                 4.2416,                0.00191,                0.25465,                0.01241,                 0.0037,                 3.2748,                 4.6485,                 4.1575,             0.00021823,             0.00021823,             0.00021823
                      5,                   3.42,                 4.5764,                 4.2025,                0.00245,                0.31492,                  0.025,                0.00435,                 3.2748,                 4.6503,                 4.1555,               0.000272,               0.000272,               0.000272
                      6,                 3.4508,                 4.5037,                 4.1932,                0.00195,                 0.2359,                0.01131,                 0.0027,                 3.2752,                 4.6528,                 4.1531,             0.00032462,             0.00032462,             0.00032462
                      7,                 3.4415,                 4.4913,                 4.1817,                0.00189,                0.17681,                0.00494,                0.00147,                 3.2734,                 4.6457,                 4.1454,             0.00037609,             0.00037609,             0.00037609
                      8,                 3.5055,                 4.4316,                 4.1517,                0.00287,                 0.1921,                0.00639,                0.00181,                 3.2713,                 4.6322,                 4.1381,              0.0004264,              0.0004264,              0.0004264
                      9,                 3.5085,                 4.3852,                 4.1192,                0.00266,                 0.2472,                0.00813,                0.00315,                 3.2693,                 4.5964,                 4.1225,             0.00047556,             0.00047556,             0.00047556
                     10,                 3.4331,                 4.3142,                 4.1136,                0.00247,                0.24563,                0.00663,                0.00241,                 3.2783,                 4.5743,                  4.105,             0.00052356,             0.00052356,             0.00052356
                     11,                 3.3199,                 4.3098,                 4.0669,                0.00243,                0.24033,                0.00448,                0.00141,                 3.2932,                 4.5714,                 4.0883,             0.00057041,             0.00057041,             0.00057041
                     12,                 3.3129,                 4.2291,                 4.0501,                 0.0025,                0.24642,                0.00404,                0.00118,                 3.3408,                   4.57,                  4.085,              0.0006161,              0.0006161,              0.0006161
                     13,                 3.3592,                 4.2805,                 3.9904,                0.00204,                0.18949,                0.00376,                0.00105,                 3.4023,                 4.6616,                  4.113,             0.00066064,             0.00066064,             0.00066064
                     14,                  3.288,                 4.1219,                 3.9705,                0.00276,                0.31876,                0.00527,                0.00168,                 3.2702,                  4.785,                 4.2332,             0.00070402,             0.00070402,             0.00070402
